"(F002-06-2-001)全国農業地域・都道府県","/(F002-06-1-001)水陸稲の収穫量","作付面積（子実用）【ha】","10ａ当たり収量【kg】","収穫量（子実用）【t】","農家等が使用しているふるい目幅で選別_10ａ当たり収量【kg】","農家等が使用しているふるい目幅で選別_作況指数【指数】","主食用作付面積【ha】","収穫量（主食用）【t】","前年産との比較_作付面積（子実用）_対差【ha】","前年産との比較_作付面積（子実用）_対比【%】","前年産との比較_10ａ当たり収量_対差【kg】","前年産との比較_10ａ当たり収量_対比【%】","前年産との比較_収穫量（子実用）_対差【t】","前年産との比較_収穫量（子実用）_対比【%】","10ａ当たり平年収量【kg】","平年収量（子実用）【t】","農家等が使用しているふるい目幅で選別_10ａ当たり平年収量【kg】","農家等が使用しているふるい目幅で選別_平年収量（子実用）【t】"
"全国","","1,359,000","540","7,345,000","519","101","1,259,000","6,792,000","15,000","101","7","101","180,000","103","537","7,298,000","513","6,972,000"
"(全国農業地域)_北海道","","95,000","592","562,400","562","103","83,700","495,500","1,700","102","13","102","22,200","104","571","542,500","544","516,800"
"(全国農業地域)_都府県","","1,264,000","537","6,783,000","515","101","1,176,000","6,297,000","13,000","101","7","101","158,000","102","535","6,762,000","510","6,446,000"
"(全国農業地域)_東北","","358,400","583","2,091,000","556","103","319,800","1,865,000","9,300","103","14","102","103,000","105","571","2,046,000","542","1,943,000"
"(全国農業地域)_北陸","","197,000","535","1,053,000","510","99","175,800","938,800","-700","100","22","104","38,000","104","538","1,060,000","515","1,015,000"
"(全国農業地域)_関東・東山","","248,000","545","1,352,000","529","102","235,000","1,282,000","8,500","104","1","100","50,000","104","539","1,337,000","520","1,290,000"
"(全国農業地域)_東海","","86,600","489","423,100","474","98","83,400","407,500","-200","100","-5","99","-5,600","99","500","433,000","483","418,300"
"(全国農業地域)_近畿","","94,000","507","476,900","488","101","90,600","459,600","-700","99","4","101","800","100","509","478,500","485","455,900"
"(全国農業地域)_中国","","93,100","512","476,900","498","101","90,400","463,000","-900","99","-2","100","-6,200","99","519","483,200","495","460,800"
"(全国農業地域)_四国","","42,700","481","205,200","471","101","42,300","203,600","-400","99","-1","100","-2,500","99","482","205,800","468","199,800"
"(全国農業地域)_九州","","143,700","489","703,000","466","99","138,200","676,000","-1,600","99","-8","98","-19,000","97","500","718,500","469","674,000"
"(全国農業地域)_沖縄","","599","326","1,950","319","105","557","1,820","23","104","5","102","100","105","312","1,870","305","1,830"
"(都道府県)_北海道","","95,000","592","562,400","562","103","83,700","495,500","1,700","102","13","102","22,200","104","571","542,500","544","516,800"
"(都道府県)_青森","","42,400","623","264,200","598","103","37,200","231,800","1,900","105","9","101","15,500","106","607","257,400","578","245,100"
"(都道府県)_岩手","","45,500","569","258,900","546","106","43,100","245,200","300","101","18","103","9,800","104","544","247,500","517","235,200"
"(都道府県)_宮城","","62,800","583","366,100","550","107","58,400","340,500","1,900","103","17","103","21,400","106","547","343,500","516","324,000"
"(都道府県)_秋田","","84,200","582","490,000","552","102","72,200","420,200","1,200","101","30","105","31,800","107","577","485,800","542","456,400"
"(都道府県)_山形","","60,800","583","354,500","553","97","52,400","305,500","-200","100","-6","99","-4,800","99","603","366,600","570","346,600"
"(都道府県)_福島","","62,700","569","356,800","546","102","56,500","321,500","4,300","107","8","101","29,200","109","553","346,700","534","334,800"
"(都道府県)_茨城","","62,500","542","338,800","523","103","59,900","324,700","2,800","105","12","102","22,400","107","527","329,400","506","316,300"
"(都道府県)_栃木","","53,000","540","286,200","521","101","49,000","264,600","1,600","103","-13","98","2,000","101","540","286,200","515","273,000"
